Estado,Acidentes,Ano
Acre,225,2023
Alagoas,620,2023
Amazonas,105,2023
Amapá,144,2023
Bahia,3749,2023
Ceará,1362,2023
Distrito Federal,977,2023
Espírito Santo,2240,2023
Goiás,3135,2023
Maranhão,1162,2023
Minas Gerais,9000,2023
Mato Grosso do Sul,1725,2023
Mato Grosso,2317,2023
Pará,894,2023
Paraíba,1564,2023
Pernambuco,3000,2023
Piauí,1273,2023
Paraná,7099,2023
Rio de Janeiro,5571,2023
Rio Grande do Norte,1365,2023
Rondônia,1398,2023
Roraima,144,2023
Rio Grande do Sul,4935,2023
Santa Catarina,7799,2023
Sergipe,537,2023
São Paulo,4755,2023
Tocantins,628,2023
Acre,111,2024
Alagoas,279,2024
Amazonas,56,2024
Amapá,56,2024
Bahia,1627,2024
Ceará,579,2024
Distrito Federal,425,2024
Espírito Santo,958,2024
Goiás,1318,2024
Maranhão,448,2024
Minas Gerais,3728,2024
Mato Grosso do Sul,696,2024
Mato Grosso,1023,2024
Pará,362,2024
Paraíba,717,2024
Pernambuco,1304,2024
Piauí,562,2024
Paraná,2974,2024
Rio de Janeiro,2448,2024
Rio Grande do Norte,631,2024
Rondônia,588,2024
Roraima,54,2024
Rio Grande do Sul,2025,2024
Santa Catarina,3462,2024
Sergipe,239,2024
São Paulo,1958,2024
Tocantins,311,2024
Acre,224,2022
Alagoas,595,2022
Amazonas,114,2022
Amapá,180,2022
Bahia,3449,2022
Ceará,1373,2022
Distrito Federal,921,2022
Espírito Santo,2280,2022
Goiás,3112,2022
Maranhão,1084,2022
Minas Gerais,8295,2022
Mato Grosso do Sul,1639,2022
Mato Grosso,2178,2022
Pará,834,2022
Paraíba,1476,2022
Pernambuco,2749,2022
Piauí,1115,2022
Paraná,7393,2022
Rio de Janeiro,4708,2022
Rio Grande do Norte,1288,2022
Rondônia,1379,2022
Roraima,229,2022
Rio Grande do Sul,4931,2022
Santa Catarina,7593,2022
Sergipe,511,2022
São Paulo,4385,2022
Tocantins,568,2022
Acre,256,2021
Alagoas,580,2021
Amazonas,93,2021
Amapá,170,2021
Bahia,3316,2021
Ceará,1543,2021
Distrito Federal,981,2021
Espírito Santo,2525,2021
Goiás,3190,2021
Maranhão,1131,2021
Minas Gerais,8334,2021
Mato Grosso do Sul,1642,2021
Mato Grosso,2140,2021
Pará,846,2021
Paraíba,1441,2021
Pernambuco,2556,2021
Piauí,1139,2021
Paraná,7347,2021
Rio de Janeiro,4569,2021
Rio Grande do Norte,1339,2021
Rondônia,1419,2021
Roraima,268,2021
Rio Grande do Sul,4539,2021
Santa Catarina,7890,2021
Sergipe,511,2021
São Paulo,4300,2021
Tocantins,501,2021
