id,Municipio,Taxa
2307809,MARCO,0.0
5200050,ABADIA DE GOIAS,0.027
5200100,ABADIANIA,0.075
2900207,ABARE,0.004
3100302,ABRE CAMPO,0.02
2600054,ABREU E LIMA,0.087
2100055,ACAILANDIA,0.088
2300200,ACARAU,0.002
2400109,ACARI,0.009
2200053,ACAUA,0.006
4300034,ACEGUA,0.001
5100102,ACORIZAL,0.0
1200013,ACRELANDIA,0.008
5200134,ACREUNA,0.023
2400208,ACU,0.02
4100202,ADRIANOPOLIS,0.003
2600203,AFRANIO,0.007
2600302,AGRESTINA,0.027
4200309,AGRONOMICA,0.01
5100201,AGUA BOA,0.037
2700102,AGUA BRANCA,0.006
5000203,AGUA CLARA,0.025
4200408,AGUA DOCE,0.012
2600401,AGUA PRETA,0.002
4300059,AGUA SANTA,0.001
2600500,AGUAS BELAS,0.01
5200258,AGUAS LINDAS DE GOIAS,0.11
4200606,AGUAS MORNAS,0.068
3101003,AGUAS VERMELHAS,0.004
1700301,AGUIARNOPOLIS,0.007
3101201,AIURUOCA,0.013
2900702,ALAGOINHAS,0.058
2500536,ALCANTIL,0.009
5000252,ALCINOPOLIS,0.004
2900801,ALCOBACA,0.0
4300406,ALEGRETE,0.025
2200277,ALEGRETE DO PIAUI,0.0
3101508,ALEM PARAIBA,0.04
5200308,ALEXANIA,0.061
3101631,ALFREDO VASCONCELOS,0.005
4200705,ALFREDO WAGNER,0.03
2500577,ALGODAO DE JANDAIRA,0.0
2500601,ALHANDRA,0.033
2600708,ALIANCA,0.009
1700350,ALIANCA DO TOCANTINS,0.01
2400604,ALMINO AFONSO,0.0
4300471,ALMIRANTE TAMANDARE DO SUL,0.022
3101805,ALPERCATA,0.022
1500602,ALTAMIRA,0.056
2100436,ALTO ALEGRE DO MARANHAO,0.013
5100300,ALTO ARAGUAIA,0.018
5100409,ALTO GARCAS,0.02
5200555,ALTO HORIZONTE,0.0
4128625,ALTO PARAISO,0.013
4100608,ALTO PARANA,0.016
2300705,ALTO SANTO,0.006
2200400,ALTOS,0.058
4300604,ALVORADA,0.009
2200459,ALVORADA DO GURGUEIA,0.001
5200803,ALVORADA DO NORTE,0.02
1400027,AMAJARI,0.004
1600105,AMAPA,0.0
2200509,AMARANTE,0.005
2901106,AMELIA RODRIGUES,0.077
4300646,AMETISTA DO SUL,0.0
2300754,AMONTADA,0.001
1500800,ANANINDEUA,0.001
5201108,ANAPOLIS,0.297
1500859,ANAPU,0.009
5000708,ANASTACIO,0.033
5000807,ANAURILANDIA,0.002
4200804,ANCHIETA,0.035
2901304,ANDARAI,0.0
4101101,ANDIRA,0.017
4300661,ANDRE DA ROCHA,0.0
2200608,ANGICAL DO PIAUI,0.002
2400802,ANGICOS,0.012
3300100,ANGRA DOS REIS,0.324
2901601,ANTAS,0.002
4101200,ANTONINA,0.019
2901700,ANTONIO CARDOSO,0.013
3103009,ANTONIO DIAS,0.035
4101309,ANTONIO OLINTO,0.01
3502507,APARECIDA,0.064
5201405,APARECIDA DE GOIANIA,0.151
5201454,APARECIDA DO RIO DOCE,0.005
5001003,APARECIDA DO TABOADO,0.028
4201257,APIUNA,0.036
2401008,APODI,0.009
4101408,APUCARANA,0.131
5001102,AQUIDAUANA,0.013
2301000,AQUIRAZ,0.032
2800308,ARACAJU,0.029
2301109,ARACATI,0.054
2902104,ARACI,0.01
3200607,ARACRUZ,0.04
5201702,ARAGARCAS,0.015
1702109,ARAGUAINA,0.093
2100873,ARAGUANA,0.001
3103504,ARAGUARI,0.112
1702208,ARAGUATINS,0.003
2902203,ARAMARI,0.002
4300851,ARAMBARE,0.0
3103603,ARANTINA,0.001
2700300,ARAPIRACA,0.0
4101507,ARAPONGAS,0.101
3103751,ARAPORA,0.026
4201307,ARAQUARI,0.24
4201406,ARARANGUA,0.131
2101004,ARARI,0.001
2601102,ARARIPINA,0.029
4101705,ARARUNA,0.004
2902252,ARATACA,0.009
4101804,ARAUCARIA,0.085
3103900,ARAUJOS,0.006
3104007,ARAXA,0.016
2601201,ARCOVERDE,0.033
3300225,AREAL,0.044
2800506,AREIA BRANCA,0.04
2401206,ARES,0.006
3104403,ARGIRITA,0.011
1100023,ARIQUEMES,0.086
4301107,ARROIO DOS RATOS,0.013
4301305,ARROIO GRANDE,0.011
3503901,ARUJA,0.081
4201703,ASCURRA,0.025
1200054,ASSIS BRASIL,0.0
2501351,ASSUNCAO,0.0
4102208,ATALAIA,0.038
3504107,ATIBAIA,0.161
3200706,ATILIO VIVACQUA,0.014
1500909,AUGUSTO CORREA,0.001
2401305,AUGUSTO SEVERO,0.0
2902401,AURELINO LEAL,0.008
1500958,AURORA DO PARA,0.006
2101103,AXIXA,0.001
2101202,BACABAL,0.013
2101251,BACABEIRA,0.04
3504602,BADY BASSITT,0.016
3104908,BAEPENDI,0.01
4301602,BAGE,0.012
2401404,BAIA FORMOSA,0.002
2902500,BAIANOPOLIS,0.0
3200805,BAIXO GUANDU,0.023
4202057,BALNEARIO BARRA DO SUL,0.0
4202008,BALNEARIO CAMBORIU,0.348
4212809,BALNEARIO PICARRAS,0.055
4102307,BALSA NOVA,0.07
2101400,BALSAS,0.04
3105301,BANDEIRA DO SUL,0.002
5001508,BANDEIRANTES,0.054
4301651,BARAO,0.005
3105400,BARAO DE COCAIS,0.012
4301701,BARAO DE COTEGIPE,0.006
2101509,BARAO DE GRAJAU,0.022
3105608,BARBACENA,0.054
2501609,BARRA DE SANTA ROSA,0.002
2501575,BARRA DE SANTANA,0.005
2101608,BARRA DO CORDA,0.036
5101803,BARRA DO GARCAS,0.142
3300308,BARRA DO PIRAI,0.074
4301875,BARRA DO QUARAI,0.003
4301909,BARRA DO RIBEIRO,0.018
2903102,BARRA DO ROCHA,0.002
3505401,BARRA DO TURVO,0.102
4301958,BARRA FUNDA,0.0
3300407,BARRA MANSA,0.122
4202107,BARRA VELHA,0.145
4301800,BARRACAO,0.036
2903201,BARREIRAS,0.128
2302008,BARRO,0.009
5203203,BARRO ALTO,0.011
2201408,BARRO DURO,0.015
2903300,BARRO PRETO,0.0
1703107,BARROLANDIA,0.011
5001904,BATAGUASSU,0.031
2700706,BATALHA,0.0
2501807,BAYEUX,0.074
2302206,BEBERIBE,0.003
5002100,BELA VISTA,0.0
3106002,BELA VISTA DE MINAS,0.019
2101772,BELA VISTA DO MARANHAO,0.007
4202131,BELA VISTA DO TOLDO,0.0
2700805,BELEM,0.002
2601607,BELEM DE SAO FRANCISCO,0.017
3300456,BELFORD ROXO,0.018
4202156,BELMONTE,0.0
3106200,BELO HORIZONTE,0.066
2601706,BELO JARDIM,0.028
3106309,BELO ORIENTE,0.023
1501451,BELTERRA,0.017
1501501,BENEVIDES,0.028
4302105,BENTO GONCALVES,0.098
2201705,BERTOLINIA,0.007
3106705,BETIM,0.637
2601904,BEZERROS,0.043
3106903,BICAS,0.011
4202305,BIGUACU,0.283
4202404,BLUMENAU,0.253
2903706,BOA NOVA,0.009
2302404,BOA VIAGEM,0.023
2502151,BOA VISTA,0.066
4302154,BOA VISTA DAS MISSOES,0.01
2101970,BOA VISTA DO GURUPI,0.005
2903805,BOA VISTA DO TUPIM,0.009
1300706,BOCA DO ACRE,0.0
4202438,BOCAINA DO SUL,0.008
4103107,BOCAIUVA DO SUL,0.026
2602001,BODOCO,0.001
3107406,BOM DESPACHO,0.043
3300506,BOM JARDIM,0.005
5203401,BOM JARDIM DE GOIAS,0.005
3107505,BOM JARDIM DE MINAS,0.01
4302303,BOM JESUS,0.043
2102036,BOM JESUS DAS SELVAS,0.006
5203500,BOM JESUS DE GOIAS,0.012
3107703,BOM JESUS DO AMPARO,0.027
5101852,BOM JESUS DO ARAGUAIA,0.002
4103156,BOM JESUS DO SUL,0.004
1703305,BOM JESUS DO TOCANTINS,0.006
2201919,BOM PRINCIPIO DO PIAUI,0.0
