id,Taxa
2307809,0.0
5200050,0.027
5200100,0.075
2900207,0.004
3100302,0.02
2600054,0.087
2100055,0.088
2300200,0.002
2400109,0.009
2200053,0.006
4300034,0.001
5100102,0.0
1200013,0.008
5200134,0.023
2400208,0.02
4100202,0.003
2600203,0.007
2600302,0.027
4200309,0.01
5100201,0.037
2700102,0.006
5000203,0.025
4200408,0.012
2600401,0.002
4300059,0.001
2600500,0.01
5200258,0.11
4200606,0.068
3101003,0.004
1700301,0.007
3101201,0.013
2900702,0.058
2500536,0.009
5000252,0.004
2900801,0.0
4300406,0.025
2200277,0.0
3101508,0.04
5200308,0.061
3101631,0.005
4200705,0.03
2500577,0.0
2500601,0.033
2600708,0.009
1700350,0.01
2400604,0.0
4300471,0.022
3101805,0.022
1500602,0.056
2100436,0.013
5100300,0.018
5100409,0.02
5200555,0.0
4128625,0.013
4100608,0.016
2300705,0.006
2200400,0.058
4300604,0.009
2200459,0.001
5200803,0.02
1400027,0.004
1600105,0.0
2200509,0.005
2901106,0.077
4300646,0.0
2300754,0.001
1500800,0.001
5201108,0.297
1500859,0.009
5000708,0.033
5000807,0.002
4200804,0.035
2901304,0.0
4101101,0.017
4300661,0.0
2200608,0.002
2400802,0.012
3300100,0.324
2901601,0.002
4101200,0.019
2901700,0.013
3103009,0.035
4101309,0.01
3502507,0.064
5201405,0.151
5201454,0.005
5001003,0.028
4201257,0.036
2401008,0.009
4101408,0.131
5001102,0.013
2301000,0.032
2800308,0.029
2301109,0.054
2902104,0.01
3200607,0.04
5201702,0.015
1702109,0.093
2100873,0.001
3103504,0.112
1702208,0.003
2902203,0.002
4300851,0.0
3103603,0.001
2700300,0.0
4101507,0.101
3103751,0.026
4201307,0.24
4201406,0.131
2101004,0.001
2601102,0.029
4101705,0.004
2902252,0.009
4101804,0.085
3103900,0.006
3104007,0.016
2601201,0.033
3300225,0.044
2800506,0.04
2401206,0.006
3104403,0.011
1100023,0.086
4301107,0.013
4301305,0.011
3503901,0.081
4201703,0.025
1200054,0.0
2501351,0.0
4102208,0.038
3504107,0.161
3200706,0.014
1500909,0.001
2401305,0.0
2902401,0.008
1500958,0.006
2101103,0.001
2101202,0.013
2101251,0.04
3504602,0.016
3104908,0.01
4301602,0.012
2401404,0.002
2902500,0.0
3200805,0.023
4202057,0.0
4202008,0.348
4212809,0.055
4102307,0.07
2101400,0.04
3105301,0.002
5001508,0.054
4301651,0.005
3105400,0.012
4301701,0.006
2101509,0.022
3105608,0.054
2501609,0.002
2501575,0.005
2101608,0.036
5101803,0.142
3300308,0.074
4301875,0.003
4301909,0.018
2903102,0.002
3505401,0.102
4301958,0.0
3300407,0.122
4202107,0.145
4301800,0.036
2903201,0.128
2302008,0.009
5203203,0.011
2201408,0.015
2903300,0.0
1703107,0.011
5001904,0.031
2700706,0.0
2501807,0.074
2302206,0.003
5002100,0.0
3106002,0.019
2101772,0.007
4202131,0.0
2700805,0.002
2601607,0.017
3300456,0.018
4202156,0.0
3106200,0.066
2601706,0.028
3106309,0.023
1501451,0.017
1501501,0.028
4302105,0.098
2201705,0.007
3106705,0.637
2601904,0.043
3106903,0.011
4202305,0.283
4202404,0.253
2903706,0.009
2302404,0.023
2502151,0.066
4302154,0.01
2101970,0.005
2903805,0.009
1300706,0.0
4202438,0.008
4103107,0.026
2602001,0.001
3107406,0.043
3300506,0.005
5203401,0.005
3107505,0.01
4302303,0.043
2102036,0.006
5203500,0.012
3107703,0.027
5101852,0.002
4103156,0.004
1703305,0.006
2201919,0.0
4302378,0.002
4202602,0.019
4302402,0.001
4103206,0.003
3108107,0.015
1300805,0.0
4302501,0.002
3108404,0.012
4302584,0.008
1501709,0.008
3507605,0.039
2701100,0.009
1501725,0.006
5002308,0.002
1703602,0.002
1200104,0.005
2201960,0.002
5300108,1.0
2602407,0.005
3201159,0.005
1501758,0.0
2302503,0.024
2904308,0.015
3109006,0.062
2904605,0.024
4202875,0.02
2904704,0.01
1200138,0.005
2202000,0.02
2102325,0.009
3109402,0.017
4302709,0.017
2503001,0.025
5002407,0.038
2503209,0.113
2602902,0.04
3109501,0.006
2603009,0.013
3508504,0.082
4302808,0.047
1100601,0.003
5102504,0.073
2904902,0.005
5204102,0.023
3102704,0.016
1501956,0.008
4303004,0.058
2503308,0.008
3508603,0.036
4303103,0.019
3201209,0.026
2701209,0.005
1100049,0.115
2905107,0.001
3109907,0.036
3110004,0.039
2603207,0.014
2905206,0.014
5204409,0.012
4303301,0.002
4203105,0.006
2401909,0.004
2402006,0.008
3509254,0.195
2503704,0.03
2603306,0.001
1600204,0.001
3110301,0.022
2503803,0.008
2905503,0.003
4103503,0.011
2603405,0.002
2905602,0.011
2905800,0.0
3110509,0.06
5002605,0.007
4303509,0.031
4103602,0.025
4103701,0.067
4103800,0.011
4203204,0.003
3110608,0.079
3110806,0.01
3110905,0.037
4303673,0.008
2102556,0.005
2504009,0.188
4104006,0.216
5204706,0.027
4203303,0.005
5204805,0.044
4104055,0.001
4104105,0.015
3111408,0.019
5002704,0.317
2202133,0.004
4104204,0.122
2202208,0.047
4104303,0.038
4304002,0.009
2402105,0.003
5102678,0.027
3111507,0.039
5102686,0.012
3301009,0.32
4203600,0.061
3509809,0.003
5102694,0.0
2701605,0.013
3111804,0.014
5102702,0.01
3509957,0.019
2906402,0.002
3112000,0.074
1100809,0.045
2906709,0.023
4304358,0.002
4104428,0.053
2402204,0.018
4304507,0.037
2302800,0.022
4304606,0.224
4203808,0.051
1400175,0.027
4104451,0.015
2906824,0.008
1300904,0.006
4104501,0.048
4203253,0.026
4304622,0.0
4304663,0.055
2801306,0.012
2504033,0.0
3112505,0.005
2906873,0.027
2102754,0.011
2202406,0.005
4104600,0.022
4203956,0.052
1200179,0.004
1400209,0.009
5002803,0.002
3113008,0.012
3113206,0.039
3300936,0.012
3113404,0.12
2202539,0.0
2906907,0.027
4304705,0.052
3301157,0.013
3113602,0.035
1301159,0.004
3201308,0.208
2303006,0.024
2801405,0.013
1703867,0.019
4304804,0.02
3301207,0.002
3113909,0.053
2801504,0.01
3114501,0.052
2102804,0.001
2604007,0.007
2604106,0.189
3114808,0.002
2907202,0.002
4104808,0.342
4304952,0.012
3301306,0.065
5002902,0.006
1502400,0.079
5205059,0.0
3511003,0.0
5205109,0.095
4204004,0.028
2504207,0.006
2907400,0.0
2907509,0.041
3115458,0.016
2303709,0.163
3115508,0.005
2103000,0.055
4305108,0.176
2402600,0.057
2801603,0.011
3115805,0.029
1100056,0.017
4305124,0.004
4305207,0.004
4105300,0.049
5205455,0.016
2604502,0.0
5002951,0.002
4204202,0.099
4105409,0.013
2303956,0.03
2907707,0.005
1100924,0.001
4105508,0.0
2907806,0.008
2103257,0.003
2907905,0.006
4305504,0.002
3116506,0.016
5103056,0.013
2202703,0.004
2202711,0.008
5205513,0.056
2103307,0.012
3201506,0.083
4305587,0.002
1705508,0.024
4105805,0.12
2202752,0.005
2702108,0.0
4305603,0.001
1100064,0.038
3116902,0.02
3300951,0.022
5103304,0.031
3201605,0.051
2908200,0.013
3117306,0.004
3301405,0.002
2908309,0.019
3201704,0.006
2908507,0.041
4204301,0.028
