Municipio,Taxa
MARCO,1
ABADIA DE GOIAS,27
ABADIANIA,74
ABARE,5
ABRE CAMPO,21
ABREU E LIMA,86
ACAILANDIA,87
ACARAU,3
ACARI,10
ACAUA,7
ACEGUA,2
ACORIZAL,1
ACRELANDIA,9
ACREUNA,23
ACU,21
ADRIANOPOLIS,4
AFRANIO,8
AGRESTINA,27
AGRONOMICA,11
AGUA BOA,37
AGUA BRANCA,7
AGUA CLARA,25
AGUA DOCE,13
AGUA PRETA,3
AGUA SANTA,2
AGUAS BELAS,11
AGUAS LINDAS DE GOIAS,108
AGUAS MORNAS,67
AGUAS VERMELHAS,5
AGUIARNOPOLIS,8
AIURUOCA,14
ALAGOINHAS,58
ALCANTIL,10
ALCINOPOLIS,5
ALCOBACA,1
ALEGRETE,25
ALEGRETE DO PIAUI,1
ALEM PARAIBA,40
ALEXANIA,61
ALFREDO VASCONCELOS,6
ALFREDO WAGNER,30
ALGODAO DE JANDAIRA,1
ALHANDRA,33
ALIANCA,10
ALIANCA DO TOCANTINS,11
ALMINO AFONSO,1
ALMIRANTE TAMANDARE DO SUL,22
ALPERCATA,22
ALTAMIRA,56
ALTO ALEGRE DO MARANHAO,14
ALTO ARAGUAIA,19
ALTO GARCAS,21
ALTO HORIZONTE,1
ALTO PARAISO,14
ALTO PARANA,17
ALTO SANTO,7
ALTOS,58
ALVORADA,10
ALVORADA DO GURGUEIA,2
ALVORADA DO NORTE,21
ALVORADA DOESTE,3
AMAJARI,5
AMAPA,1
AMARANTE,6
AMELIA RODRIGUES,76
AMETISTA DO SUL,1
AMONTADA,2
ANANINDEUA,2
ANAPOLIS,291
ANAPU,10
ANASTACIO,33
ANAURILANDIA,3
ANCHIETA,35
ANDARAI,1
ANDIRA,18
ANDRE DA ROCHA,1
ANGICAL DO PIAUI,3
ANGICOS,13
ANGRA DOS REIS,317
ANTAS,3
ANTONINA,20
ANTONIO CARDOSO,14
ANTONIO DIAS,35
ANTONIO OLINTO,11
APARECIDA,63
APARECIDA DE GOIANIA,148
APARECIDA DO RIO DOCE,6
APARECIDA DO TABOADO,28
APIUNA,36
APODI,10
APUCARANA,129
AQUIDAUANA,14
AQUIRAZ,32
ARACAJU,29
ARACATI,54
ARACI,11
ARACRUZ,40
ARAGARCAS,16
ARAGUAINA,92
ARAGUANA,2
ARAGUARI,110
ARAGUATINS,4
ARAMARI,3
ARAMBARE,1
ARANTINA,2
ARAPIRACA,1
ARAPONGAS,100
ARAPORA,26
ARAQUARI,235
ARARANGUA,129
ARARI,2
ARARIPINA,29
ARARUNA,5
ARATACA,10
ARAUCARIA,84
ARAUJOS,7
ARAXA,17
ARCOVERDE,33
AREAL,44
AREIA BRANCA,40
ARES,7
ARGIRITA,12
ARIQUEMES,85
ARROIO DOS RATOS,14
ARROIO GRANDE,12
ARUJA,80
ASCURRA,25
ASSIS BRASIL,1
ASSUNCAO,1
ATALAIA,38
ATIBAIA,158
ATILIO VIVACQUA,15
AUGUSTO CORREA,2
AUGUSTO SEVERO,1
AURELINO LEAL,9
AURORA DO PARA,7
AXIXA,2
BACABAL,14
BACABEIRA,40
BADY BASSITT,17
BAEPENDI,11
BAGE,13
BAIA FORMOSA,3
BAIANOPOLIS,1
BAIXO GUANDU,23
BALNEARIO BARRA DO SUL,1
BALNEARIO CAMBORIU,341
BALNEARIO PICARRAS,55
BALSA NOVA,69
BALSAS,40
BANDEIRA DO SUL,3
BANDEIRANTES,54
BARAO,6
BARAO DE COCAIS,13
BARAO DE COTEGIPE,7
BARAO DE GRAJAU,22
BARBACENA,54
BARRA DE SANTA ROSA,3
BARRA DE SANTANA,6
BARRA DO CORDA,36
BARRA DO GARCAS,140
BARRA DO PIRAI,73
BARRA DO QUARAI,4
BARRA DO RIBEIRO,19
BARRA DO ROCHA,3
BARRA DO TURVO,101
BARRA FUNDA,1
BARRA MANSA,120
BARRA VELHA,143
BARRACAO,36
BARREIRAS,126
BARRO,10
BARRO ALTO,12
BARRO DURO,16
BARRO PRETO,1
BARROLANDIA,12
BATAGUASSU,31
BATALHA,1
BAYEUX,73
BEBERIBE,4
BELA VISTA,1
BELA VISTA DE MINAS,20
BELA VISTA DO MARANHAO,8
BELA VISTA DO TOLDO,1
BELEM,3
BELEM DE SAO FRANCISCO,18
BELFORD ROXO,19
BELMONTE,1
BELO HORIZONTE,65
BELO JARDIM,28
BELO ORIENTE,23
BELTERRA,18
BENEVIDES,28
BENTO GONCALVES,97
BERTOLINIA,8
BETIM,623
BEZERROS,43
BICAS,12
BIGUACU,277
BLUMENAU,248
BOA NOVA,10
BOA VIAGEM,23
BOA VISTA,65
BOA VISTA DAS MISSOES,11
BOA VISTA DO GURUPI,6
BOA VISTA DO TUPIM,10
BOCA DO ACRE,1
BOCAINA DO SUL,9
BOCAIUVA DO SUL,26
BODOCO,2
BOM DESPACHO,43
BOM JARDIM,6
BOM JARDIM DE GOIAS,6
BOM JARDIM DE MINAS,11
BOM JESUS,43
BOM JESUS DAS SELVAS,7
BOM JESUS DE GOIAS,13
BOM JESUS DO AMPARO,27
BOM JESUS DO ARAGUAIA,3
BOM JESUS DO SUL,5
BOM JESUS DO TOCANTINS,7
BOM PRINCIPIO DO PIAUI,1
BOM PROGRESSO,3
BOM RETIRO,20
BOM RETIRO DO SUL,2
BOM SUCESSO,4
BONFIM,16
BORBA,1
BOSSOROCA,3
BOTELHOS,13
BOZANO,9
BRAGANCA,9
BRAGANCA PAULISTA,39
BRANQUINHA,10
BRASIL NOVO,7
BRASILANDIA,3
BRASILANDIA DO TOCANTINS,3
BRASILEIA,6
BRASILEIRA,3
BRASILIA,977
BREJAO,6
BREJETUBA,6
BREJO GRANDE DO ARAGUAIA,1
BREJO SANTO,24
BREJOES,16
BRUMADINHO,62
BRUMADO,24
BRUNOPOLIS,21
BUERAREMA,11
BUJARI,6
BURITI DOS LOPES,21
BURITICUPU,10
BURITIZEIRO,18
BUTIA,18
CAAPORA,25
CAARAPO,38
CABEDELO,111
CABO DE SANTO AGOSTINHO,40
CABO VERDE,7
CABROBO,14
CACAPAVA,81
CACAPAVA DO SUL,47
CACAULANDIA,4
CACERES,72
CACHOEIRA,6
CACHOEIRA ALTA,23
CACHOEIRA DE PAJEU,17
CACHOEIRA DO PIRIA,9
CACHOEIRA DO SUL,58
CACHOEIRA DOS INDIOS,9
CACHOEIRA PAULISTA,36
CACHOEIRINHA,20
CACHOEIRO DE ITAPEMIRIM,26
CACIMBINHAS,6
CACOAL,113
CAEM,2
CAETANOPOLIS,36
CAETE,39
CAETES,15
CAETITE,15
CAIAPONIA,13
CAIBATE,3
CAIBI,7
CAICARA DO RIO DO VENTO,5
CAICO,9
CAJATI,191
CAJAZEIRAS,30
CALCADO,2
CALCOENE,2
CALDAS,22
CALDAS BRANDAO,9
CALDEIRAO GRANDE,4
CALIFORNIA,12
CALUMBI,3
CAMACAN,12
CAMAMU,1
CAMANDUCAIA,60
CAMAPUA,8
CAMAQUA,31
CAMBARA,25
CAMBE,66
CAMBIRA,12
CAMBORIU,4
CAMBUI,78
CAMPANARIO,11
CAMPANHA,37
CAMPESTRE DA SERRA,9
CAMPESTRE DO MARANHAO,6
CAMPINA GRANDE,184
CAMPINA GRANDE DO SUL,212
CAMPINORTE,27
CAMPO ALEGRE,6
CAMPO ALEGRE DE GOIAS,44
CAMPO BONITO,2
CAMPO DO TENENTE,16
CAMPO FLORIDO,20
CAMPO GRANDE,310
CAMPO GRANDE DO PIAUI,5
CAMPO LARGO,120
CAMPO MAIOR,47
CAMPO MOURAO,38
CAMPO NOVO,10
CAMPO REDONDO,4
CAMPO VERDE,27
CAMPOS ALTOS,39
CAMPOS DE JULIO,13
CAMPOS DOS GOYTACAZES,313
CAMPOS NOVOS,61
CAMPOS NOVOS PAULISTA,4
CANABRAVA DO NORTE,1
CANAPI,14
CANAPOLIS,15
CANARANA,11
CANAS,20
CANDEAL,3
CANDEIAS,73
CANDEIAS DO JAMARI,45
CANDIDO SALES,23
CANDIOTA,3
CANDOI,53
CANGUARETAMA,19
CANGUCU,37
CANINDE,22
CANOAS,220
CANOINHAS,51
CANTA,27
CANTAGALO,16
CANUDOS,9
CANUTAMA,7
CAPANEMA,48
CAPAO ALTO,26
CAPAO BONITO DO SUL,1
CAPAO DO LEAO,55
CAPELA,13
CAPIM,1
CAPIM BRANCO,6
CAPIM GROSSO,27
CAPINZAL DO NORTE,12
CAPITAO DE CAMPOS,6
CAPITAO LEONIDAS MARQUES,22
CAPIVARI DE BAIXO,52
CAPIXABA,5
CARACARAI,10
CARACOL,3
CARAI,13
CARANDAI,39
CARAPEBUS,13
CARATINGA,118
CARAUBAS DO PIAUI,1
CARAVELAS,27
CARAZINHO,52
CARDOSO MOREIRA,14
CAREACU,35
CAREIRO DA VARZEA,5
CARIACICA,204
CARIDADE,24
CARIRA,14
CARIRI DO TOCANTINS,20
CARLOS BARBOSA,21
CARMO,3
CARMO DA CACHOEIRA,53
CARMOPOLIS,11
CARMOPOLIS DE MINAS,52
CAROLINA,2
CARPINA,8
CARUARU,185
CARVALHOS,3
CASA NOVA,3
CASCAVEL,335
CASEIROS,13
CASIMIRO DE ABREU,64
CASSILANDIA,7
CASTANHAL,78
CASTELANDIA,1
CASTILHO,1
CATALAO,94
CATANDUVAS,28
CATINGUEIRA,7
CATOLANDIA,1
CATU,41
CATUJI,17
CAUCAIA,160
CAXAMBU,6
CAXIAS,55
CAXIAS DO SUL,173
CEARA-MIRIM,57
CEDRO DE SAO JOAO,12
CENTRALINA,29
CEREJEIRAS,18
CERRITO,5
CERRO LARGO,5
CEU AZUL,49
CEZARINA,17
CHA GRANDE,1
CHAPADAO DO SUL,3
CHAPECO,98
CHOPINZINHO,14
CHOROZINHO,30
CHORROCHO,6
CHUPINGUAIA,2
CIANORTE,1
CICERO DANTAS,9
CIDELANDIA,4
CIPO,7
CIRIACO,3
CLARO DOS POCOES,17
CLAUDIA,14
COCAL,5
COCAL DE TELHA,9
COCALZINHO DE GOIAS,56
CODO,13
COLATINA,82
COLINAS,3
COLINAS DO TOCANTINS,24
COLOMBO,118
COLONIA DO GURGUEIA,6
COLONIA LEOPOLDINA,1
COLORADO,2
COLORADO DO OESTE,38
COMENDADOR GOMES,21
COMENDADOR LEVY GASPARIAN,22
COMODORO,31
CONCEICAO DA BARRA,51
CONCEICAO DA FEIRA,14
CONCEICAO DAS ALAGOAS,5
CONCEICAO DE MACABU,3
CONCEICAO DO ALMEIDA,20
CONCEICAO DO CASTELO,7
CONCEICAO DO JACUIPE,41
CONCORDIA,28
CONDADO,9
CONDE,30
CONDOR,2
CONFRESA,4
CONGONHAL,19
CONGONHAS,96
CONQUISTA DOESTE,15
CONSELHEIRO LAFAIETE,88
CONSELHEIRO MAIRINCK,9
CONTAGEM,313
CONTENDA,17
COQUEIRO SECO,1
CORBELIA,49
CORDILHEIRA ALTA,25
COREAU,6
CORNELIO PROCOPIO,37
CORONEL BARROS,11
CORONEL BICACO,2
CORONEL FABRICIANO,7
CORONEL JOAO SA,1
CORONEL VIVIDA,28
CORREGO DANTA,23
CORREIA PINTO,30
CORRENTE,6
CORRENTINA,29
CORUMBA,32
CORUMBA DE GOIAS,27
CORUPA,46
COSTA RICA,1
COXIM,28
CRICIUMA,12
CRISTAL,22
CRISTALANDIA DO PIAUI,1
CRISTALINA,146
CRISTIANO OTONI,23
CRISTINAPOLIS,17
CRISTINO CASTRO,13
CRISTOPOLIS,22
CRIXAS DO TOCANTINS,4
CRUZ ALTA,22
CRUZ DAS ALMAS,13
CRUZ DO ESPIRITO SANTO,22
CRUZEIRO,14
CRUZEIRO DO OESTE,2
CUIABA,98
CUITE,3
CUMARI,16
CUNHA PORA,22
CUPIRA,6
CURACA,1
CURITIBA,565
CURITIBANOS,33
CURRAIS NOVOS,18
CURRAL DE DENTRO,4
CURVELO,48
CUSTODIA,18
DARCINOPOLIS,11
DARIO MEIRA,1
DAVINOPOLIS,4
DELMIRO GOUVEIA,18
DELTA,29
DEMERVAL LOBAO,29
DEODAPOLIS,7
DESCANSO,9
DIAMANTE DO SUL,2
DIAMANTINO,90
DILERMANDO DE AGUIAR,9
DIONISIO CERQUEIRA,19
DIVINO,23
DIVISA ALEGRE,10
DOIS IRMAOS,25
DOIS IRMAOS DO BURITI,11
DOIS RIACHOS,5
DOM AQUINO,9
DOM CAVATI,10
DOM ELISEU,34
DOM EXPEDITO LOPES,13
DOM PEDRITO,18
DOM PEDRO,6
DOM PEDRO DE ALCANTARA,9
DOMINGOS MARTINS,86
DOURADINA,5
DOURADOS,140
DUERE,1
DUQUE DE CAXIAS,692
ELDORADO,19
ELDORADO DO CARAJAS,11
ELDORADO DO SUL,99
ELESBAO VELOSO,10
EMBU DAS ARTES,131
ENCRUZILHADA,20
ENCRUZILHADA DO SUL,1
ENGENHEIRO CALDAS,38
ENTRE RIOS,20
ENTRE-IJUIS,21
EPITACIOLANDIA,6
ERECHIM,60
ERVAL VELHO,20
ESCADA,13
ESMERALDAS,57
ESPERANCA,8
ESPLANADA,16
ESTANCIA,28
ESTANCIA VELHA,23
ESTEIO,59
ESTIVA,43
ESTREITO,18
ESTRELA,43
ESTRELA DE ALAGOAS,9
ESTRELA DO NORTE,8
ESTRELA DO SUL,2
EUCLIDES DA CUNHA,11
EUGENOPOLIS,8
EUNAPOLIS,76
EUSEBIO,34
EWBANK DA CAMARA,22
