id,Municipio,Taxa
2307809,MARCO,1
5200050,ABADIA DE GOIAS,27
5200100,ABADIANIA,74
2900207,ABARE,5
3100302,ABRE CAMPO,21
2600054,ABREU E LIMA,86
2100055,ACAILANDIA,87
2300200,ACARAU,3
2400109,ACARI,10
2200053,ACAUA,7
4300034,ACEGUA,2
5100102,ACORIZAL,1
1200013,ACRELANDIA,9
5200134,ACREUNA,23
2400208,ACU,21
4100202,ADRIANOPOLIS,4
2600203,AFRANIO,8
2600302,AGRESTINA,27
4200309,AGRONOMICA,11
5100201,AGUA BOA,37
2700102,AGUA BRANCA,7
5000203,AGUA CLARA,25
4200408,AGUA DOCE,13
2600401,AGUA PRETA,3
4300059,AGUA SANTA,2
2600500,AGUAS BELAS,11
5200258,AGUAS LINDAS DE GOIAS,108
4200606,AGUAS MORNAS,67
3101003,AGUAS VERMELHAS,5
1700301,AGUIARNOPOLIS,8
3101201,AIURUOCA,14
2900702,ALAGOINHAS,58
2500536,ALCANTIL,10
5000252,ALCINOPOLIS,5
2900801,ALCOBACA,1
4300406,ALEGRETE,25
2200277,ALEGRETE DO PIAUI,1
3101508,ALEM PARAIBA,40
5200308,ALEXANIA,61
3101631,ALFREDO VASCONCELOS,6
4200705,ALFREDO WAGNER,30
2500577,ALGODAO DE JANDAIRA,1
2500601,ALHANDRA,33
2600708,ALIANCA,10
1700350,ALIANCA DO TOCANTINS,11
2400604,ALMINO AFONSO,1
4300471,ALMIRANTE TAMANDARE DO SUL,22
3101805,ALPERCATA,22
1500602,ALTAMIRA,56
2100436,ALTO ALEGRE DO MARANHAO,14
5100300,ALTO ARAGUAIA,19
5100409,ALTO GARCAS,21
5200555,ALTO HORIZONTE,1
4128625,ALTO PARAISO,14
4100608,ALTO PARANA,17
2300705,ALTO SANTO,7
2200400,ALTOS,58
4300604,ALVORADA,10
2200459,ALVORADA DO GURGUEIA,2
5200803,ALVORADA DO NORTE,21
,ALVORADA DOESTE,3
1400027,AMAJARI,5
1600105,AMAPA,1
2200509,AMARANTE,6
2901106,AMELIA RODRIGUES,76
4300646,AMETISTA DO SUL,1
2300754,AMONTADA,2
1500800,ANANINDEUA,2
5201108,ANAPOLIS,291
1500859,ANAPU,10
5000708,ANASTACIO,33
5000807,ANAURILANDIA,3
4200804,ANCHIETA,35
2901304,ANDARAI,1
4101101,ANDIRA,18
4300661,ANDRE DA ROCHA,1
2200608,ANGICAL DO PIAUI,3
2400802,ANGICOS,13
3300100,ANGRA DOS REIS,317
2901601,ANTAS,3
4101200,ANTONINA,20
2901700,ANTONIO CARDOSO,14
3103009,ANTONIO DIAS,35
4101309,ANTONIO OLINTO,11
3502507,APARECIDA,63
5201405,APARECIDA DE GOIANIA,148
5201454,APARECIDA DO RIO DOCE,6
5001003,APARECIDA DO TABOADO,28
4201257,APIUNA,36
